product,handle,category,n,scene,industries,prompt
Ultra High Bond Acrylic Foam Tape D/Sided – Clear,high-bond-acrylic-tape-clear,foam-tape-double-sided,2,Sign mounting,"Aerospace Defense, Building & Construction","a signwriter aligning a blank brushed-aluminium plaque onto a painted reception wall, foam tape strips on the reverse; shallow depth of field, soft architectural lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Ultra High Bond Acrylic Foam Tape D/Sided – Clear,high-bond-acrylic-tape-clear,foam-tape-double-sided,3,Window seal,"Aerospace Defense, Building & Construction","a close-up of grey foam tape being pressed into the rebate of an aluminium window frame on a construction site, weather seal continuous around the corner; bright overcast daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Carpet Tape Double Sided,double-sided-carpet-tape,cloth-double-sided-tape,1,Carpet laying,"Building & Construction, Display Signage","a flooring installer pressing carpet down onto strips of double-sided cloth tape across a subfloor, knee kicker beside them; bright renovation daylight, dust motes in the air. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Carpet Tape Double Sided,double-sided-carpet-tape,cloth-double-sided-tape,2,Exhibition floor,"Building & Construction, Display Signage","hands laying carpet tiles onto double-sided tape over a temporary exhibition floor, tile edges butted tight; even hall lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Carpet Tape Double Sided,double-sided-carpet-tape,cloth-double-sided-tape,3,Tape on subfloor,"Building & Construction, Display Signage","a close-up of double-sided cloth tape being unrolled across a plywood subfloor in a straight line, release liner peeling; raking daylight showing the grid. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
White Double Sided Polyester Tape,white-double-sided-polyester-tape,polyester-tape,1,Powder-coat masking,"Manufacturing, Tapes for Visual, Arts & Entertainment","gloved hands masking threaded holes on a steel bracket with green polyester tape before powder coating, parts jig behind; bright industrial lighting, matte metal. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
White Double Sided Polyester Tape,white-double-sided-polyester-tape,polyester-tape,2,Coil insulation,"Manufacturing, Tapes for Visual, Arts & Entertainment","a close-up of thin polyester film tape wrapped around a transformer coil on an electronics bench; sharp macro detail, cool task lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
White Double Sided Polyester Tape,white-double-sided-polyester-tape,polyester-tape,3,Plating mask,"Manufacturing, Tapes for Visual, Arts & Entertainment","polyester masking tape discs applied to machined aluminium parts on a tray before surface treatment; clean bright factory light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Double-Sided Butyl Tape – Kikusui,double-sided-black-butyl-tape,butyl-tape,1,Gutter seal,"Airconditioning Refrigeration Tapes, Building & Construction","gloved hands pressing thick black butyl sealing tape into the lap joint of a metal gutter on a roof; bright hard sunlight, metal glare. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Double-Sided Butyl Tape – Kikusui,double-sided-black-butyl-tape,butyl-tape,2,RV seam,"Airconditioning Refrigeration Tapes, Building & Construction","butyl tape being applied along a caravan roof seam before a trim strip is fitted; bright outdoor daylight, aluminium panel texture. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Double-Sided Butyl Tape – Kikusui,double-sided-black-butyl-tape,butyl-tape,3,Stretch detail,"Airconditioning Refrigeration Tapes, Building & Construction","a close-up of butyl tape stretching and conforming into an uneven metal joint, its tacky body deforming under thumb pressure; hard side lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Structural Glazing Tape – Medium Density Open Cell,spacer-glazing-tape,foam-tape-double-sided,1,Mirror mounting,"Building & Construction, Glass & Glazing","hands pressing a frameless bathroom mirror onto a tiled wall, evenly spaced strips of white double-sided foam tape on the mirror's back edge just visible; soft diffused bathroom light, tile grout lines crisp. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Structural Glazing Tape – Medium Density Open Cell,spacer-glazing-tape,foam-tape-double-sided,2,Sign mounting,"Building & Construction, Glass & Glazing","a signwriter aligning a blank brushed-aluminium plaque onto a painted reception wall, foam tape strips on the reverse; shallow depth of field, soft architectural lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Structural Glazing Tape – Medium Density Open Cell,spacer-glazing-tape,foam-tape-double-sided,3,Window seal,"Building & Construction, Glass & Glazing","a close-up of grey foam tape being pressed into the rebate of an aluminium window frame on a construction site, weather seal continuous around the corner; bright overcast daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Nitrile Foam Tape-Single Sided (Black),pvc-nitrile-foam-tape,bumpers-tapes,1,Cabinet door,"Airconditioning Refrigeration Tapes, Building & Construction","an extreme close-up of a small clear self-adhesive bumper being pressed into the inside corner of a shaker kitchen cabinet door; warm domestic light, timber grain sharp. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Nitrile Foam Tape-Single Sided (Black),pvc-nitrile-foam-tape,bumpers-tapes,2,Glass tabletop,"Airconditioning Refrigeration Tapes, Building & Construction","clear round bumpers spaced beneath a glass tabletop resting on a timber base, catching a highlight; soft interior daylight, minimal styling. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Nitrile Foam Tape-Single Sided (Black),pvc-nitrile-foam-tape,bumpers-tapes,3,Drawer stop,"Airconditioning Refrigeration Tapes, Building & Construction","hands fitting clear bumpers to the inside face of a joinery drawer front in a workshop, cabinet carcass on the bench; warm workshop light, sawdust detail. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Silicone Kraft Paper Tape – Brown,silicone-kraft-paper-tapes,paper-kraft-tape,1,Gummed seal,"Building & Construction, Glass & Glazing","water-activated kraft paper tape being pressed onto a carton seam, the fibres visibly bonding into the board; clean bright dispatch bench. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Silicone Kraft Paper Tape – Brown,silicone-kraft-paper-tapes,paper-kraft-tape,2,Bundle wrap,"Building & Construction, Glass & Glazing","hands wrapping a bundle of flat-packed cardboard with kraft paper tape for recycling; warm warehouse light. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Silicone Kraft Paper Tape – Brown,silicone-kraft-paper-tapes,paper-kraft-tape,3,Macro texture,"Building & Construction, Glass & Glazing","an extreme macro of kraft paper tape torn across, showing the reinforcing fibre threads inside; dramatic side lighting, dark background. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
