Handle,Title,Body (HTML),Collection Type,Rule: Product Column,Rule: Relation,Rule: Condition,Must Match,Image Src,Published,Kind
eco-friendly-tapes,Eco Friendly Tapes,"<p>Buy Eco-friendly Tape Online at My Tape Store
Do you need an environment-friendly adhesive solution for sustainable packaging and sealing? Then, explore the wider collection of eco-friendly tapes at My Tape Store. These are useful adhesive solutions made from sensitive materials. We have designed them to reduce the impact on the environment. Regular tapes are usually made of plastic or PVC. But our tapes are made from sustainable materials. Paper, plant-based adhesive, and biodegradable plastics are to name a few.</p>",Smart,Tag,Equals,Eco Friendly Tapes,all,https://mytapestore.com.au/wp-content/uploads/2025/02/119_3_11zon-300.webp,TRUE,category
fabric-tape,Fabric Tape,"<p>Fabric Tape (Also Known as Cloth Tape)
Cloth tapes are the most flexible and useful adhesive solutions, used by people in different industries. My Tape Store presents an incredible range of cloth tapes, also known as fabric tapes, at the best price in Australia. Our cloth tapes are available in various colours and sizes. Here at My Tape Store, explore multiple varieties like gaffer tapes, cloth tapes (7 colours available) and heavy-duty gaffer tapes. Buy online from any of them. Knowing the diverse requirements, we have crafted our products with the best features. Order your choice of tape now!</p>",Smart,Tag,Equals,Fabric Tape,all,,TRUE,category
felt-tapes-dots,Felt Tape & Dots,"<p>Our Range of Felt Dots and Tapes
Our range of felt dots and tapes offers a versatile solution for a variety of projects. Whether you’re looking to add a soft touch to your handmade creations or seeking an efficient way to protect surfaces, our felt dots and tape are your go-to solution.</p>",Smart,Tag,Equals,Felt Tape & Dots,all,https://mytapestore.com.au/wp-content/uploads/2023/08/518.jpg,TRUE,category
filament-tapes,Filament Tape,"<p>Filament Tape
Filament tape is a highly used pressure-sensitive adhesive tape that is strengthened with fibreglass filaments. My Tape Store brings an exclusive range of filament tapes designed for various industries. It promises high tensile strength, versatility, and durability. Our filament tapes are a must-buy if you are looking for a reliable adhesive solution for securing pallets, handling industrial packaging, or bundling heavy-duty material.</p>",Smart,Tag,Equals,Filament Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/672.jpg,TRUE,category
flashing-tape,Flashing Tape,"<p>Flashing Tapes
If you are looking for a reliable solution to seal out water, air, and moisture from a construction site or a repair project at home, My Tape Store has the perfect solution. Buy window &amp; roofing flashing tape online now. This adhesive tape is the ultimate solution whether you need to seal windows, doors, or roof joints. Our tapes provide a strong and waterproof barrier to keep any structure safe for years.</p>",Smart,Tag,Equals,Flashing Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/182.jpg,TRUE,category
foam-tape,Foam Tape – Single Sided,"<p>Single Sided Foam Tapes
Foam tapes are the best to serve when it comes to cushioning, bonding, and sealing requirements in various industries. At My Tape Store, quality foam tapes are offered which are made from premium materials like polyethylene or PVC fortified with pressure-sensitive adhesives.</p>",Smart,Tag,Equals,Foam Tape – Single Sided,all,https://mytapestore.com.au/wp-content/uploads/2023/08/329.jpg,TRUE,category
foam-tape-double-sided,Foam Tape Double Sided,"<p>Double Sided Foam Tapes
Double-sided foam tape is the best bonding solution and is also thicker than the regular double-sided tape. It is produced by applying a strong pressure-sensitive adhesive to both sides of a foam core, and, therefore, is perfect when used on uneven surfaces needing strong yet flexible bonding. It offers great tack, stretch and cushioning ability. This tape is one of those general-purpose tools that people look for to secure bond surfaces. Get premium quality tapes here at My Tape Store that promise high-performance adhesion, as it is designed for secure, long-lasting bonding across a wide range of surfaces. We are your trusted wholesale double-sided foam tape supplier and benefit from fast delivery across Australia.</p>",Smart,Tag,Equals,Foam Tape Double Sided,all,https://mytapestore.com.au/wp-content/uploads/2023/08/508.jpg,TRUE,category
glazing-tapes,Glazing Tapes,"<p>Glazing Tapes
Sealing windows for insulation and weather protection becomes super easy when you start using high-quality Glazing Tape available at the best price with My Tape Store. Made from durable PVC foam, this tape comes with strong double-sided acrylic adhesion for long-lasting performance. Trusted to provide a flawless seal between glass and frame, this tape helps prevent any type of leaks by air, water or dust. With excellent compression recovery, it adjusts to surface movement without losing grip.</p>",Smart,Tag,Equals,Glazing Tapes,all,https://mytapestore.com.au/wp-content/uploads/2023/08/645.jpg,TRUE,category
glue-dots,Glue Dots,"<p>Glue Dots | Sticky Adhesive Dots
Glue dots are a simple and affordable adhesive solution to stick lightweight objects cleanly and efficiently. It comes in a convenient dispenser box for easy use. These are highly useful in crafting, decorations, office work, and industrial applications. Buy them with us for any of the applications, as we promise convenience and strong adhesion with every lot. We are the most trusted adhesive dots supplier in Australia.</p>",Smart,Tag,Equals,Glue Dots,all,,TRUE,category
hang-tab,Hang Tab,"<p>Hang Tabs – Buy Online in Australia
Enhance any product’s visibility, make it noticeable with premium quality hang tabs. With handy design and useful hanging feature, it promises performance with ease of application at retail stores. Hang tabs by My Tape Store are ideal for displaying and showcasing purposes. Self-adhesive, easy to attach and remove, these are high tack adhesive solutions. Suitable to serve various industries. Buy non-yellowing hang tabs online in Australia.</p>",Smart,Tag,Equals,Hang Tab,all,https://mytapestore.com.au/wp-content/uploads/2023/09/733.jpg,TRUE,category
hook-loop-tapes,Hook & Loop Tape,"<p>Hook and Loop Tape/Velcro® Brand Tape
Hook and loop tapes are the ultimate solution when managing messy cables, securing lightweight items, or creating adjustable straps becomes challenging. My Tape Store brings a premium collection of tapes to fulfil your demands well. It is a reusable, reliable and easy way of handling and securing bundles. We get you the simple yet effective fastening method for people across Australia that comes with supreme features in our Hook and loop tapes.</p>",Smart,Tag,Equals,Hook & Loop Tape,all,,TRUE,category
hook-and-loop-dots,Hook and Loop Dots,"<p>Hook and Loop Dots / Velcro® Dots
Hook and loop dots are the perfect solution for secure fastening in various applications. At My Tape Store, we offer superior-quality adhesive fasteners that feature durability and reliability for long-term use. Around the boundaries of Australia, we serve as the most renowned supplier and wholesaler of hook and loop sticky dots. Our industry-leading experience enables us to offer a range of high-performance hook and loop dots for various industries. For various DIY and classroom crafts, as well as desk organisation for cables, we offer quick and hassle-free fastening solutions. Order now from us for user-friendly fastening solutions.</p>",Smart,Tag,Equals,Hook and Loop Dots,all,,TRUE,category
magnetic-tapes,Magnetic Tapes,"<p>Buy Magnetic Tape &amp; Magnetic Strips Online in Australia
My Tape Store stocks the widest range of magnetic tapes and strips across Australia. This specialised range of flexible magnet tapes makes adhesion easy and effortless. Magnetic tapes are available at the best price, we promise to cater to all requirements like sticking promotional products, signage boards, etc. These are flexible tapes suitable for various surfaces, such as flat or curved.</p>",Smart,Tag,Equals,Magnetic Tapes,all,https://mytapestore.com.au/wp-content/uploads/2024/09/770.webp,TRUE,category
masking-tape,Masking Tape,"<p>Masking Tape
Masking tapes are your life saver, as these can be used in multiple tasks. From painting walls and crafting to a quick fix, it gives the best facility of easy-to-stick and peel-off features – No mess, no fuss. If you are looking for useful and handy adhesive solutions, you are right at your destination – My Tape Store! Whether you are a professional painter, a DIY enthusiast, or a common user, we have the premium quality to deliver across various locations in Australia. Order masking tapes online now!</p>",Smart,Tag,Equals,Masking Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/Masking-Tape.jpg,TRUE,category
packaging-tapes,Packaging Tapes,"<p>Packing &amp; Packaging Tapes – Strong Adhesive Solutions for Secure Sealing
If you have serious packaging requirements related to your business or industry, finding premium quality packaging tapes is necessary. Explore the widest collection of packaging tapes in different colours at My Tape Store. We are your trusted adhesive tape supplier that can competently fulfil any tape requirements.</p>",Smart,Tag,Equals,Packaging Tapes,all,https://mytapestore.com.au/wp-content/uploads/2025/02/Packing-Tape_11zon.webp,TRUE,category
painters-tape,Painters Masking Tape,"<p>Painters Masking Tape
Painting is a tough job that needs focus and special equipment. However, it can get messy if not handled properly and without the right tape. Hence, My Tape Store brings painters’ choice, excellent quality, and highly useful products that the professionals swear by – Painters Masking Tape! We have designed it to give sharp and clean lines. Its outstanding features make it a must-have in the painter’s magic box.
So, if you want incredible results in doing a full room makeover or a small touch-up, buy painter’s masking tape online today. Our tape will help you paint like a pro – every single time!</p>",Smart,Tag,Equals,Painters Masking Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/151.jpg,TRUE,category
paper-kraft-tape,Paper Tape,"<p>Paper Tape
Upgrade your packaging, crafting, sealing, and masking projects. Buy premium quality paper tapes at My Tape Store. We have an extensive collection of paper adhesive tapes with excellent adhesion and usefulness. Whether you need a strong hold, easy movability, or an eco-friendly option for flawless packaging, here we have solutions to match. Our huge collection fulfills all the packaging and crafting demands of different industries in Australia.</p>",Smart,Tag,Equals,Paper Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/17-2.jpg,TRUE,category
polyester-tape,Polyester Tape,"<p>Polyester Tape / Double Sided PET Tape
My Tape Store offers a huge polyester tape collection that promises durability and versatility. This tape is also called double-sided PET tape and is designed for high-performance bonding with exceptional strength and reliable adhesion.</p>",Smart,Tag,Equals,Polyester Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/243.jpg,TRUE,category
protection-tape,Protection Tape,"<p>Protection Tape At Best Price
Are you looking for a reliable and durable adhesive solution that helps protect surfaces and repair as well? My Tape Store stocks a premium collection of protection tapes. We are the leading supplier of adhesive tapes designed for various purposes. Our protection tapes promise benefits like strong adhesion, durability, and stable protection from water, chemicals, and harsh weather conditions.</p>",Smart,Tag,Equals,Protection Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/177.jpg,TRUE,category
pvc-electrical-insulation-tape,PVC Electrical Insulation Tape,"<p>Electrical Insulation Tapes
Electrical tapes are an essential tool for professionals looking for a protective option for bundling wires, and insulating connections. Buy electrical tapes at My Tape Store for safe and flawless electrical applications and repairs. We have the best range that promises safety, efficiency, and long-lasting results.</p>",Smart,Tag,Equals,PVC Electrical Insulation Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/Washi-Tape.jpg,TRUE,category
reflective-tape,Reflective Tape,"<p>Reflective Tapes / High Visibility Tape
Finding a reliable and affordable way to enhance safety and visibility is easy now. My Tape Store brings premium quality reflective tape at the best price. This is the ultimate solution for keeping you, your workplace, and your belongings noticeable. No more worries about securing your construction site, marking hazardous areas or increasing nighttime visibility. Our collection of reflective tapes, which are available to customise, ensures that the results stand out the best.</p>",Smart,Tag,Equals,Reflective Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/490.jpg,TRUE,category
safety-tape,Safety Tapes,"<p>Safety Tape
Keeping workplaces and public places safe is easier now. Here comes the new handy and effective solution- Safety Tapes. Known as the premium solution for big protection, these small stripes play a crucial role in your day-to-day life. My Tape Store brings this bright, durable, and easy-to-use adhesive solution that prevents accidents before they happen. We ensure safety at every step, offering premium quality tapes. These are not just easy to apply but to buy as well with us.
Whether you are marking hazardous zones, preventing slips, or organising workspaces, the right tape makes all the difference. Stay safe, stay visible. Buy now from our premium collection of safety tapes at the best price today!</p>",Smart,Tag,Equals,Safety Tapes,all,https://mytapestore.com.au/wp-content/uploads/2023/08/Image-3.jpg,TRUE,category
specialty-tape,Specialty Tape,<p>Specialty Tape</p>,Smart,Tag,Equals,Specialty Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/481.jpg,TRUE,category
strapping-and-filament,Strapping and Filament,"<p>Filament Tapes: Strengthening Your Packaging Solutions
Filament tapes, also known as strapping tapes, are pressure-sensitive adhesive tapes that are reinforced with filaments. These tapes consist of a strong backing material, typically polypropylene or polyester film, and are reinforced with fibreglass strands. The adhesive used in filament tapes is usually synthetic rubber or acrylic.</p>",Smart,Tag,Equals,Strapping and Filament,all,https://mytapestore.com.au/wp-content/uploads/2023/08/549-1.jpg,TRUE,category
strapping-tapes,Strapping Tapes,"<p>Buy Heavy-Duty Strapping Tape Online in Australia
Strapping tapes are the premium quality pressure-sensitive adhesive tapes available at My Tape Store. We provide a wider range of tapes designed for strength and durability. These tapes are the perfect choice to secure heavy-duty packages, bundling materials, or reinforcing boxes. These tapes promise performance as made with premium quality polypropylene and strong backing material. They come with strong adhesives, usually synthetic rubber. Order online now!</p>",Smart,Tag,Equals,Strapping Tapes,all,https://mytapestore.com.au/wp-content/uploads/2023/08/549-1.jpg,TRUE,category
tapes-dispensers,Tape Dispensers,"<p>Tape Dispenser
Handling tape tasks has become easier now. Buy high-quality tape dispensers at My Tape Store, your trusted supplier in Australia. Our tape dispenser will make your tasks smoother, more precise, and less clumsy. Whether you are busy in your office or at a shipping department, we have this perfect solution for easy handling and less waste.</p>",Smart,Tag,Equals,Tape Dispensers,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-1-11.jpg,TRUE,category
thermal-insulation-tape,Thermal Insulation Tape,"<p>Thermal Insulation Tape
Thermal insulation tape is an essential adhesive solution for protecting surfaces and components in high temperatures zones. At My Tape Store, we bring an exclusive collection of insulation tapes. We have designed them to meet the diverse needs of industries across Australia. We are the leading wholesaler and supplier of adhesive tapes. Place an order for high-performance tapes today. We supply them with specific industry requirements like strong adhesive properties, high thermal insulation, excellent electrical insulation, etc.</p>",Smart,Tag,Equals,Thermal Insulation Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/08/530-1.jpg,TRUE,category
double-sided-tissue-tape,Tissue Tape,"<p>Double-Sided Tissue Tapes
Double-sided tissue tape is a multipurpose adhesive solution perfect for bonding lightweight products. It is designed from non-woven tissue coated. A high-tack acrylic adhesive is on both sides. This tape ensures strong adhesion to various surfaces, like paper, plastic, and fabric. A thin profile allows for discreet application. With its tissue carrier, this tape is flexible and easy to handle. This tape offers excellent temperature resistance, clean removal. Ideal for mounting, splicing, laminating, and crafts.

Buy high-performance, supreme-quality tissue tapes with My Tape Store today!</p>",Smart,Tag,Equals,Tissue Tape,all,,TRUE,category
high-bond-acrylic-tape-vhp,Ultra High Bond Tape,"<p>Ultra High Bond Acrylic Foam Tapes
Adhesive tape buying is no longer tiresome as you get the best quality Ultra High Bond Double Sided Tape here with My Tape Store that sticks fast and lasts long. We are the most trusted supplier and dealer of an exclusive range of Ultra High Bond Tapes made with acrylic foam. This double-sided heavy-duty tape is powerful, reliable, and perfect for both home and industrial use, as you can use it for mounting, holding, and joining where a strong bond is required. This tape is designed to handle tough jobs with ease. It’s an excellent, reasonable alternative to 3M VHB tape. Order your required collection now!</p>",Smart,Tag,Equals,Ultra High Bond Tape,all,https://mytapestore.com.au/wp-content/uploads/2023/09/801.jpg,TRUE,category
aerospace-defense,Aerospace Defense,"<p>Aerospace &amp; Defense Adhesive Tapes
Find the best quality tapes designed for demanding aerospace and defence applications. Durable performance with strong adhesion and resistance to extreme conditions.</p>",Smart,Tag,Equals,Aerospace Defense,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-6.jpg,TRUE,industry
airconditioning-refrigeration-tapes,Airconditioning Refrigeration Tapes,"<p>Our Collection of Airconditioning And Refrigeration Adhesive Tapes
Make HVAC installations and repairs seamless and durable with high quality tapes perfect for sealing ducts, insulation, and moisture protection. Give air conditioning and refrigeration systems a new life.</p>",Smart,Tag,Equals,Airconditioning Refrigeration Tapes,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Airconditioning-Industry.jpg,TRUE,industry
building-construction,Building & Construction,"<p>Adhesive Tapes for Building &amp; Construction
Explore adhesive tapes for building and construction, including roofing, electrical, HVAC, and more.</p>",Smart,Tag,Equals,Building & Construction,all,,TRUE,industry
display-signage,Display Signage,"<p>Our Tapes Collection For Display &amp; Signage Industries
Essential adhesive tapes for schools and libraries. Ideal for book repairs, art projects, and labeling.</p>",Smart,Tag,Equals,Display Signage,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-4.jpg,TRUE,industry
electronics-electrical,Electronics & Electrical,"<p>Adhesive Tapes Used in Electronics &amp; Electrical Industries
Protect, insulate, and secure electronic components with tapes that meet safety and industry requirements. Ideal for wiring, repairs, and assembly.</p>",Smart,Tag,Equals,Electronics & Electrical,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Electronics-Electrical-tape.jpg,TRUE,industry
flooring,Flooring,"<p>Adhesive Tapes For Flooring
Find high-quality tapes with strong adhesion and an easy removal feature, manufactured to secure carpets, vinyl, and underlayment for flooring projects.</p>",Smart,Tag,Equals,Flooring,all,https://mytapestore.com.au/wp-content/uploads/2025/06/flooring-tapes.jpg,TRUE,industry
framing-insulation,Framing & Insulation,"<p>Tapes For Framing &amp; Insulation
Tapes to secure insulation, seal gaps, and reinforce framing structures. Essential for energy-efficient builds.</p>",Smart,Tag,Equals,Framing & Insulation,all,https://mytapestore.com.au/wp-content/uploads/2025/06/framing-industry.jpg,TRUE,industry
glass-glazing,Glass & Glazing,"<p>Our Range Of Tapes For Glass &amp; Glazing Industries 
Specialised tapes for glass installation, edge protection, and glazing tasks. Secure and clean finishes every time.</p>",Smart,Tag,Equals,Glass & Glazing,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Glass-Glazing-tape.jpg,TRUE,industry
hvac-plumbing,HVAC & Plumbing,"<p>HVAC &amp; Plumbing Adhesive Tapes
Get premium quality, durable and moisture-resistant tapes to make HVAC and plumbing applications simpler and effortless. Promise reliable adhesion in seal ducts, pipes, and fittings.</p>",Smart,Tag,Equals,HVAC & Plumbing,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-5.jpg,TRUE,industry
joinery-kitchen-furniture,Joinery Kitchen Furniture,"<p>Adhesive Tapes for Joinery, Kitchen &amp; Furniture
Get tapes for joinery, cabinetmaking, and furniture assembly. Perfect for edge protection, bonding, and securing surfaces.</p>",Smart,Tag,Equals,Joinery Kitchen Furniture,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Joinery-Kitchen-Furniture-tapes.jpg,TRUE,industry
manufacturing,Manufacturing,"<p>Range of Manufacturers Adhesive Tapes
Find tapes that support your production lines from bundling and surface protection to splicing and labelling, which effectively meet industrial standards.</p>",Smart,Tag,Equals,Manufacturing,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-8.jpg,TRUE,industry
marine,Marine,"<p>Adhesive Tapes For Marine Applications
Buy premium quality tapes that withstand harsh marine environments, providing waterproofing, corrosion resistance, and secure sealing for boats and marine equipment.</p>",Smart,Tag,Equals,Marine,all,https://mytapestore.com.au/wp-content/uploads/2025/06/marine-tapes.jpg,TRUE,industry
marking-safety,Marking Safety,"<p>Our Collection of Tapes For Marking and Safety Needs
Make your workplace safer and more organised with our marking and safety tapes. Perfect for highlighting hazards, creating walkways, and ensuring everyone knows where to go.</p>",Smart,Tag,Equals,Marking Safety,all,https://mytapestore.com.au/wp-content/uploads/2025/06/marking-safety-tapes.jpg,TRUE,industry
nameplates,Nameplates,"<p>Adhesive Tapes Used For Nameplates 
Secure nameplates, labels, and tags by buying high quality tapes designed for high performance and trusted adhesion across various surfaces.</p>",Smart,Tag,Equals,Nameplates,all,https://mytapestore.com.au/wp-content/uploads/2025/06/name-plate-tapes.jpg,TRUE,industry
picture-framing-tapes,Picture Framing Tapes,"<p>Picture Framing Adhesive Tapes
Get premium quality picture framing tapes or framers tape designed for precision, durability, and clean finishes. A go-to tool for professional framers and DIY enthusiasts alike.</p>",Smart,Tag,Equals,Picture Framing Tapes,all,https://mytapestore.com.au/wp-content/uploads/2025/06/picture-framing-tape.jpg,TRUE,industry
pool-spa,Pool & Spa,"<p>Pool &amp; Spa Adhesive Tapes
Get tapes for sealing, repairs, and maintenance in pool and spa areas. Resistant to moisture and chemicals.</p>",Smart,Tag,Equals,Pool & Spa,all,,TRUE,industry
printing,Printing,"<p>Our Range of Printing Industry Adhesive Tapes
Find high-quality tapes to enhance print production for splicing, plate mounting, and surface protection. Reliable performance in high-speed printing operations.</p>",Smart,Tag,Equals,Printing,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-11.jpg,TRUE,industry
roofing-gutters,Roofing & Gutters,"<p>Roofing &amp; Gutter Adhesive Tapes
Seal leaks, protect joints, and secure materials with tapes built for roofing and gutter work. Weatherproof and reliable.</p>",Smart,Tag,Equals,Roofing & Gutters,all,,TRUE,industry
sheathing-moisture-management,Sheathing & Moisture Management,"<p>Sheathing &amp; Moisture Management Adhesive Tapes
Buy excellent quality tapes that protect buildings from moisture, useful for sheathing, sealing, and weatherproofing. Essential for construction and renovation projects.</p>",Smart,Tag,Equals,Sheathing & Moisture Management,all,,TRUE,industry
solar-energy,Solar Energy,"<p>Collection Of Adhesive Tapes For Solar Energy Industry
Support solar panel installation and maintenance with tapes for bonding, sealing, and weatherproofing. Built to withstand sun, wind, and rain.</p>",Smart,Tag,Equals,Solar Energy,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-10.jpg,TRUE,industry
tapes-for-school-library,Tapes For School Library,"<p>Make book repairs, labelling, classroom projects, and library maintenance an effortless job using premium quality tapes. Durable, easy-to-use solutions for schools and libraries.</p>",Smart,Tag,Equals,Tapes For School Library,all,,TRUE,industry
tapes-for-visual-arts-entertainment,"Tapes for Visual, Arts & Entertainment","<p>Adhesive Tapes for Visual, Arts &amp; Entertainment
Find tapes for securing cables, backdrops, and stage equipment in photography, TV, film, music, stage and theatre productions. Flawless setups and quick tear-downs for entertainment needs.</p>",Smart,Tag,Equals,"Tapes for Visual, Arts & Entertainment",all,,TRUE,industry
telecommunication,Telecommunication,"<p>Our Tapes Collection For Telecommunication Industries
Find high-quality tapes suitable for cable management, insulation, and labelling in telecommunications setups that promise organised and safe installations.</p>",Smart,Tag,Equals,Telecommunication,all,https://mytapestore.com.au/wp-content/uploads/2025/06/telecommunication-tape.jpg,TRUE,industry
transport-automotive-rv,Transport Automotive RV,"<p>Our Adhesive Tapes for Transport, Automotive &amp; RV
Explore tapes for vehicle repairs, surface protection, trim attachment, and vibration dampening. Designed for automotive and RV use.</p>",Smart,Tag,Equals,Transport Automotive RV,all,,TRUE,industry
warehouse-packaging-logistics,Warehouse Packaging Logistics,"<p>Our Collection of Adhesive Tapes For Logistics, Warehousing And Packaging Industries 
Keep your operations running smoothly with tapes built for high-volume demands and suitable for carton sealing, pallet wrapping, labelling, and bundling.</p>",Smart,Tag,Equals,Warehouse Packaging Logistics,all,https://mytapestore.com.au/wp-content/uploads/2025/06/Untitled-8.jpg,TRUE,industry
windows-doors-decking,Windows Doors & Decking,"<p>Windows, Doors &amp; Decking Adhesive Tapes
Find tapes for window and door sealing, deck installation, and trim work. Protect against drafts, moisture, and wear.</p>",Smart,Tag,Equals,Windows Doors & Decking,all,,TRUE,industry
bestsellers,Bestsellers,,Smart,Tag,Equals,bestseller,all,,TRUE,utility
