Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hook-loop-roll-adhesive-backed,,,,,,,,Size,50mm x 25m Hook,Colour,Black,,,H50RAB,0,shopify,100,deny,manual,63.00,,TRUE,TRUE,,,,,,,,
hook-loop-roll-adhesive-backed,,,,,,,,Size,50mm x 25m Loop,Colour,Black,,,L50RAB,0,shopify,100,deny,manual,63.00,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,"Sew On Hook and Loop, Non Adhesive","<ul><li>Sew On Hook and Loop Fastener Sold Separately</li><li>100% Nylon- Premium Quality.</li><li>Strong hook &amp; loop closure, tested for thousands of openings/closures.</li></ul><p>Our sew-on hook and loop fasteners are ideal for those applications that do not require sticky adhesives. No adhesion means it includes no adhesive sticker on its back, and easily fixed with stapling or sewing. They have small hooks and fuzzy loops, which come together with a press and create sturdy bonds. 25m rolls are enough for supplying fastening solutions for all applications. Both white and black colour options are available at My Tape Store. They are easy to install and promise aggressive adhesion and durability for all fastening systems. Sew-on hook and loop fasteners are widely used in furniture, textiles, home furnishings, and various commercial and DIY projects. With its use, it creates a waterproof enclosure, which makes it eligible to be used in both outdoor and indoor applications.</p><h3>Key Features</h3><ul><li>Easy to cut, stitch, and customise.</li><li>No adhesive, no stickiness. Easy to apply.</li><li>Ideal for use in any indoor or outdoor applications</li><li>Non-adhesive backing – designed to sew directly onto fabric.</li><li>Temperature Resistance: -20°C to +90°C (washable up to 60°C, dry-clean safe).</li></ul><h3>Application Areas</h3><ul><li>Clothing and Apparel: Useful for making adjustable straps, waistbands, costumes, shoes, and baby clothes. Easy to open and close, especially for kids and elderly people.</li><li>Sewing: Idle for making display hangers, bag closures and fabric organisers</li><li>Craft &amp; Home Organisation: Used in making costumes, fabric blinds, cushion fastening and under-bed storage bags</li><li>Sports &amp; Outdoor Gear: Used in camping equipment, sportswear, and gear that needs secure and adjustable fastening</li><li>Industrial Uses: Workwear, safety gear, and reusable fastening solutions.</li></ul><h3>Specifications</h3><ul><li>Type: Non-adhesive, sew-on hook &amp; loop fastener</li><li>Widths: 25mm, 50mm with 25-meter length</li><li>Colours: Black, White</li><li>Material: 100% Nylon</li><li>Closure Strength: Tested for durability and repeat use</li></ul><img src=""/img/products/1422552da5c6.jpg"" alt="""">",My Tape Store,,Hook & Loop Tape,"Hook & Loop Tape, Display Signage",TRUE,Size,100mm x 25m Loop,Colour,White,,,L100W,0,shopify,100,deny,manual,63.70,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Untitled-3.jpg,1,"Sew On Hook and Loop, Non Adhesive",FALSE,"Sew On Hook and Loop, Non Adhesive","Our sew-on hook and loop fasteners are ideal for those applications that do not require sticky adhesives. No adhesion means it includes no adhesive sticker on its back, and easily fixed with stapling or sewing. They have small hooks and fuzzy loops, which come together with a press and create sturdy bonds. 25m rolls ar",active
sew-on-hook-loop-non-adhesive,,,,,,,,Size,100mm x 25m Loop,Colour,Black,,,L100B,0,shopify,100,deny,manual,63.70,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Untitled-2.jpg,2,"Sew On Hook and Loop, Non Adhesive",,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,100mm x 25m Hook,Colour,White,,,H100W,0,shopify,100,deny,manual,63.70,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2022/01/Untitled-1.jpg,3,"Sew On Hook and Loop, Non Adhesive",,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,100mm x 25m Hook,Colour,Black,,,H100B,0,shopify,100,deny,manual,63.70,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2025/08/undefined.jpg,4,"Sew On Hook and Loop, Non Adhesive",,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,50mm x 25m Loop,Colour,White,,,L50W,0,shopify,100,deny,manual,41.50,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,50mm x 25m Hook,Colour,White,,,H50W,0,shopify,100,deny,manual,41.50,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,25mm x 25m Loop,Colour,White,,,L25W,0,shopify,100,deny,manual,25.26,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,25mm x 25m Hook,Colour,White,,,H25W,0,shopify,100,deny,manual,25.26,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,25mm x 25m Hook,Colour,Black,,,H25B,0,shopify,100,deny,manual,25.26,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,25mm x 25m Loop,Colour,Black,,,L25B,0,shopify,100,deny,manual,25.26,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,50mm x 25m Hook,Colour,Black,,,H50B,0,shopify,100,deny,manual,41.50,,TRUE,TRUE,,,,,,,,
sew-on-hook-loop-non-adhesive,,,,,,,,Size,50mm x 25m Loop,Colour,Black,,,L50B,0,shopify,100,deny,manual,41.50,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,Double-Sided PE Foam Tape,"<p>Double-sided PE Foam Tape is a perfect and dependable adhesive solution that delivers exceptional hold with versatility. This premium PE tape offers a seamless bond across a wide range of surfaces as made with closed-cell polyethene foam and coated with strong acrylic adhesive on both sides. Use it freely in home improvements, DIY projects, or professional applications as it is engineered for strength and flexibility. It is a professional must-buy product as it offers excellent initial tack, high shear strength, and flexibility. This strong and reliable feature allows it to conform to uneven surfaces with ease.</p><p>Buy the premium quality online with us at My Tape Store for any quantity according to your needs!</p><h3>Interesting Characteristics of Double-Sided PE Foam Tape</h3><ul><li>Sticks Fast and Stays Strong – The high-tack adhesive not only sticks quick but also sticks tight.</li><li>Easy to Apply – Peel and stick! The quick stick action makes your job faster.</li><li>Bends with Ease – The flexible foam fits curved and bumpy surfaces easily.</li><li>No Water Trouble – The closed-cell foam will not soak up water.</li><li>Keeps Things Cool – Offers great thermal insulation.</li><li>Tough in Any Weather – UV, rain, and heat are no problem. It is weather-resistant.</li><li>Holds Like a Champ – With high shear strength, your stuff stays secure.</li></ul><h3>Product Specifications:</h3><ul><li>Foam Type: Closed-cell PE foam</li><li>Liner: White bi-siliconised paper</li><li>Adhesive: Acrylic (solvent-based)</li><li>Heat Resistance: -40°C to 120°C</li><li>Thickness: 1.1 – 3.2 mm thick</li><li>Length: 16.5 to 50 m</li><li>Width: 9mm – 48mm</li></ul><h3>Where To Use- Application Areas</h3><ul><li>Stick nameplates, plastic parts, and signs.</li><li>Attach mirrors, glass panels, and bathroom accessories.</li><li>Great for kitchen items and housewares that need a permanent fix.</li></ul><img src=""/img/products/3c65bcb02709.jpg"" alt="""">",Husky Tape,,Bumpers Tapes,"Bumpers Tapes, Foam Tape Double Sided, Building & Construction, Display Signage, Joinery Kitchen Furniture, Nameplates, Printing, Tapes For School Library",TRUE,Size,1.1mm thick x 09mm x 50m,Colour,White,,,H-541009,0,shopify,100,deny,manual,27.48,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/508.jpg,1,Double-Sided PE Foam Tape,FALSE,Double-Sided PE Foam Tape,Double-sided PE Foam Tape is a perfect and dependable adhesive solution that delivers exceptional hold with versatility. This premium PE tape offers a seamless bond across a wide range of surfaces as made with closed-cell polyethene foam and coated with strong acrylic adhesive on both sides. Use it freely in home impro,active
double-sided-pe-foam-tape,,,,,,,,Size,1.1mm thick x 12mm x 50m,Colour,White,,,H-541012,0,shopify,100,deny,manual,34.78,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.1mm thick x 18mm x 50m,Colour,White,,,H-541018,0,shopify,100,deny,manual,45.17,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.1mm thick x 24mm x 50m,Colour,White,,,H-541024,0,shopify,100,deny,manual,54.93,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.1mm thick x 48mm x 50m,Colour,White,,,H-541048,0,shopify,100,deny,manual,100.74,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 9mm x 16.5m,Colour,White,,,H-543209,0,shopify,100,deny,manual,14.78,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.6mm thick x 12mm x 33m,Colour,White,,,H-541612,0,shopify,100,deny,manual,29.77,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 12mm 16.5m,Colour,White,,,H-543212,0,shopify,100,deny,manual,20.74,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.6mm thick x 18mm x 33m,Colour,White,,,H-541618,0,shopify,100,deny,manual,33.95,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 18mm 16.5m,Colour,White,,,H-543218,0,shopify,100,deny,manual,27.64,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.6mm thick x 24mm x 33m,Colour,White,,,H-541624,0,shopify,100,deny,manual,41.42,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 24mm x 16.5m,Colour,White,,,H-543224,0,shopify,100,deny,manual,32.85,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.6mm thick x 36mm 33m,Colour,White,,,H-541636,0,shopify,100,deny,manual,60.44,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 36mm x 16.5m,Colour,White,,,H-543236,0,shopify,100,deny,manual,47.95,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,1.6mm thick x 48mm x 33m,Colour,White,,,H-541648,0,shopify,100,deny,manual,78.34,,TRUE,TRUE,,,,,,,,
double-sided-pe-foam-tape,,,,,,,,Size,3.2mm thick x 48mm x 16.5m,Colour,White,,,H-543248,0,shopify,100,deny,manual,62.22,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,"<h3>A cost-effective and reliable alternative for 3M VHB.</h3><p>Ultra High Bond Acrylic Foam Tapes (Clear) are strong double-sided tapes that promise high performance. This high-performance tape is mainly used for its strong and unbeaten adhesive property, which makes it good even on rough surfaces. This tape can replace rivets, welds, liquid adhesives, and fasteners in multiple applications.</p><p>It is instrumental in bonding surfaces like metals, glass, sealed wood, cast Acrylic, most plastics, and painted surfaces. Different industries, including Signage / Display, Metal fabrication, Automotive (Badge and Bodymould, bonding E Tags on Windscreen), and others, find it highly useful. Being weather-resistant, clear ultra-high bond tapes are perfect for indoor and outdoor use.</p><h3>Specification</h3><ul><li>Material: Premium high-grade acrylic foam</li><li>Length: 33 meters per roll</li><li>Thickness: 0.5mm and 1mm</li><li>Width: 6mm, 9mm, 12mm, 24mm, 36mm, 48mm</li><li>Easy Installation, peel-and-stick application</li></ul><p>Colour – Clear (Transparent)</p><h3>Application</h3><ul><li>Mounting glass panels and partitions with premium adhesions.</li><li>Bonding transparent materials like acrylic and polycarbonate as surfaces.</li><li>Attaching signage and displays on frontside.</li><li>Securing decorative elements on glass surfaces for appealing finish</li><li>Spotless fixing mirrors and nameplates without hassles and</li><li>Bonding metal and plastic parts in electronics with better cushioning</li><li>Attaching LED strips and light fixtures for spotless decor at any space.</li><li>Easy Installation, peel-and-stick application</li></ul><img src=""/img/products/0e3602494f17.jpg"" alt=""vhb tape applications"">",Acribond,,Ultra High Bond Tape,"Ultra High Bond Tape, Aerospace Defense, Building & Construction, Display Signage, Glass & Glazing, Joinery Kitchen Furniture, Nameplates, Pool & Spa, Transport Automotive RV, Windows Doors & Decking, bestseller",TRUE,Size,0.5mm thick x 6mm x 33m,Colour,Clear,,,H-A405006C,0,shopify,100,deny,manual,28.57,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/Ultra-High-Bond-Tape-Clear.jpg,1,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,FALSE,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,"Ultra High Bond Acrylic Foam Tapes (Clear) are strong double-sided tapes that promise high performance. This high-performance tape is mainly used for its strong and unbeaten adhesive property, which makes it good even on rough surfaces. This tape can replace rivets, welds, liquid adhesives, and fasteners in multiple ap",active
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 9mm x 33m,Colour,Clear,,,H-A405009C,0,shopify,100,deny,manual,36.78,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/09/783.jpg,2,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 12mm x 33m,Colour,Clear,,,H-A405012C,0,shopify,100,deny,manual,47.74,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/09/790.jpg,3,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 18mm x 33m,Colour,Clear,,,H-A405018C,0,shopify,100,deny,manual,61.93,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/09/789.jpg,4,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 24mm x 33m,Colour,Clear,,,H-A405024C,0,shopify,100,deny,manual,75.28,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/09/787.jpg,5,Ultra High Bond Acrylic Foam Tape D/Sided – Clear,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 36mm x 33m,Colour,Clear,,,H-A405036C,0,shopify,100,deny,manual,106.47,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,0.5mm thick x 48mm x 33m,Colour,Clear,,,H-A405048C,0,shopify,100,deny,manual,141.98,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 6mm x 33m,Colour,Clear,,,H-A410006C,0,shopify,100,deny,manual,35.91,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 9mm x 33m,Colour,Clear,,,H-A410009C,0,shopify,100,deny,manual,45.01,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 12mm x 33m,Colour,Clear,,,H-A410012C,0,shopify,100,deny,manual,58.37,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 18mm x 33m,Colour,Clear,,,H-A410018C,0,shopify,100,deny,manual,75.70,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 24mm x 33m,Colour,Clear,,,H-A410024C,0,shopify,100,deny,manual,94.60,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 36mm x 33m,Colour,Clear,,,H-A410036C,0,shopify,100,deny,manual,133.79,,TRUE,TRUE,,,,,,,,
high-bond-acrylic-tape-clear,,,,,,,,Size,1mm thick x 48mm x 33m,Colour,Clear,,,H-A410048C,0,shopify,100,deny,manual,178.41,,TRUE,TRUE,,,,,,,,
double-sided-carpet-tape,Carpet Tape Double Sided,"<p>When it comes to having a solid adhesion partner, buy our double-sided carpet tape at My Tape Store to keep carpets, rugs, and floor coverings firmly in place. It gives a neat, safe, and professional finish. Whether you need rug tape to prevent slipping or for joining sections, invisible fixing is possible with carpet seam tape. Made with natural coloured cotton cloth coated on both sides with a high shear, moderate tack, natural rubber-based adhesive.</p><h3>Key Characteristics of Our Double-Sided Carpet Tape:</h3><ul><li>Adhesive- Rubber-based</li><li>Carrier- Cotton Cloth</li><li>Colour Options- Yellow, White</li><li>Temperature Resistance- -10°C to 60°C for general use.</li><li>Sizes- 12mm – 48mm wide and 25m long.</li><li>Moisture Resistance- Good</li><li>Removability- Easy removal, no adhesive residue.</li><li>UV Resistance- Limited UV resistance; perfect for indoor use.</li></ul><img src=""/img/products/4020e32aca2f.jpg"" alt=""""><h3>Applications:</h3><p>Carpet joining tape helps secure carpets, rugs, mats, runners, door mats, and car mats, as well as carpeting in place. Apply to hardwood, wood, tile, plastic, laminate, concrete or other carpets. Ideal for installations, repairs, and forming of smooth joins where large areas of carpet are to be used. Perfect for temporary setups where fast application and clean removal are essential.</p>",Husky Tape,,Cloth Double Sided Tape,"Cloth Double Sided Tape, Building & Construction, Display Signage, Flooring, Framing & Insulation, Manufacturing, Tapes for Visual, Arts & Entertainment, Transport Automotive RV",TRUE,Size,96mm x 25m,Colour,Brown,,,H-14296,0,shopify,100,deny,manual,74.09,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/double-sided-carpet-tape.webp,1,Carpet Tape Double Sided,FALSE,Carpet Tape Double Sided,"When it comes to having a solid adhesion partner, buy our double-sided carpet tape at My Tape Store to keep carpets, rugs, and floor coverings firmly in place. It gives a neat, safe, and professional finish. Whether you need rug tape to prevent slipping or for joining sections, invisible fixing is possible with carpet ",active
double-sided-carpet-tape,,,,,,,,Size,48mm x 25m,Colour,Brown,,,H-14248,0,shopify,100,deny,manual,39.16,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/210.jpg,2,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,36mm x 25m,Colour,Brown,,,H-14236,0,shopify,100,deny,manual,30.17,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/212.jpg,3,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,24mm x 25m,Colour,Brown,,,H-14224,0,shopify,100,deny,manual,21.16,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/214.jpg,4,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,18mm x 25m,Colour,Brown,,,H-14218,0,shopify,100,deny,manual,16.09,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/216-1.jpg,5,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,12mm x 25m,Colour,Brown,,,H-14212,0,shopify,100,deny,manual,14.06,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/218.jpg,6,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,12mm x 25m,Colour,White,,,H-14112,0,shopify,100,deny,manual,6.51,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/220.jpg,7,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,18mm x 25m,Colour,White,,,H-14118,0,shopify,100,deny,manual,8.70,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/221.jpg,8,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,24mm x 25m,Colour,White,,,H-14124,0,shopify,100,deny,manual,10.86,,TRUE,TRUE,,https://mytapestore.com.au/wp-content/uploads/2023/08/188.jpg,9,Carpet Tape Double Sided,,,,
double-sided-carpet-tape,,,,,,,,Size,36mm x 25m,Colour,White,,,H-14136,0,shopify,100,deny,manual,16.32,,TRUE,TRUE,,,,,,,,
double-sided-carpet-tape,,,,,,,,Size,48mm x 25m,Colour,White,,,H-14148,0,shopify,100,deny,manual,22.90,,TRUE,TRUE,,,,,,,,
double-sided-carpet-tape,,,,,,,,Size,48mm x 4.5m,Colour,White,,,75ead94202e3,0,shopify,100,deny,manual,8.45,,TRUE,TRUE,,,,,,,,
